race_id,athlete_id,swim,t1,bike,t2,run,overall,notes
282479,89044,00:30:49,00:00:55,00:00:00,00:00:37,00:43:19,02:33:38,Kristen Palmer has incorrect bike time; removed for consistency. TODO: Recalc bike
282479,77484,00:26:01,00:01:05,00:00:00,00:00:27,00:53:03,02:39:40,Belinda Castree has incorrect bike time; removed for consistency. TODO: Recalc bike
282479,89421,00:36:16,00:01:07,00:00:00,00:00:57,00:48:32,02:52:23,Kandis Matthews has incorrect bike time; removed for consistency. TODO: Recalc bike
282479,102884,00:36:10,00:01:15,00:00:00,00:01:02,00:50:04,02:59:32,Christine Patton has incorrect bike time; removed for consistency. TODO: Recalc bike
282479,99924,00:38:13,00:01:25,00:00:00,00:00:57,00:49:59,03:00:19,Sarah Farrar has incorrect bike time; removed for consistency. TODO: Recalc bike
282479,102885,00:37:50,00:01:05,00:00:00,00:00:46,00:51:55,03:09:39,Jennie Lightbourne has incorrect bike time; removed for consistency. TODO: Recalc bike
308981,110592,00:21:50,00:00:00,01:39:20,00:00:00,00:00:00,03:05:44,Jen Andrews has 01:04 run split; removed for consistency. TODO: Recalc run 
308984,111021,00:16:16,00:00:00,00:00:00,00:00:00,00:35:08,02:04:05,Amber Stevens has a 01:13 bike split; removed for consistency. TODO: Recalc bike
282703,96584,00:09:23,00:00:29,00:39:40,00:00:00,00:00,01:10:24,Grace Hobbs run time is split across T2 and run; both removed for consistency
282134,102648,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,01:20:03,Camille Watteyna has nonsensical splits; all removed for consistency
280617,80730,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,01:03:28,Elizabeth Stannard has run split of 01:03; removed for consistency
280711,81062,00:13:23,00:00:34,00:00:00,00:00:00,00:23:28,01:15:43,Anna Wilkinson run time is split across T2 and run; both removed for consistency
309042,101280,00:26:03,00:00:52,00:00:00,00:00:37,00:48:01,02:33:03,Jenna Ross has incorrect bike split; overall remains correct. TODO: Recalc bike
309042,111062,00:22:09,00:00:25,00:00:00,00:00:29,00:55:26,02:35:09,Alex Bovell has incorrect bike split; overall remains correct. TODO: Recalc bike
309042,111063,00:36:26,00:01:17,00:00:00,00:01:30,01:00:42,03:06:58,Gina Hart has incorrect bike split; overall remains correct. TODO: Recalc bike
309042,111064,00:31:21,00:01:53,00:00:00,00:03:00,01:08:44,03:19:36,Janelle Zakour has incorrect bike split; overall remains correct. TODO: Recalc bike
309042,111065,00:38:28,00:01:56,00:00:00,00:02:12,01:07:33,03:22:15,Cherise Stauble has incorrect bike split; overall remains correct. TODO: Recalc bike
309042,111066,00:38:29,00:01:54,00:00:00,00:02:11,01:07:32,03:22:15,Jacqueline Sabga has incorrect bike split; overall remains correct. TODO: Recalc bike
309042,111067,00:33:06,00:00:48,00:00:00,00:00:59,01:12:03,03:25:12,Ruth Rudden has incorrect bike split; overall remains correct. TODO: Recalc bike
309042,111068,00:41:19,00:01:36,00:00:00,00:01:07,01:11:53,03:36:13,Aliya Drakes has incorrect bike split; overall remains correct. TODO: Recalc bike
309574,101296,00:21:33,00:00:57,00:00:00,00:00:41,00:00:38:52,02:05:33,Stefanie Gouveia has bike split of 01:04. TODO: Recalc bike
310497,73284,00:23:02,00:00:33,01:06:42,00:00:44,00:45:49,02:16:50,Hannah Cutajar has incorrect bike split; recalcuated from remaining splits
310497,83248,00:23:41,00:00:39,01:11:33,00:00:53,00:47:37,02:24:23,Margaret Seguna has incorrect bike split; recalcuated from remaining splits
310497,105294,00:25:10,00:00:31,01:05:41,00:00:53,00:54:07,02:26:22,Michelle Vella Wood has incorrect bike split; recalcuated from remaining splits
310497,95464,00:26:37,00:00:32,01:12:21,00:00:52,00:48:12,02:28:34,Lara Buttigieg has incorrect bike split; recalcuated from remaining splits
310497,102321,00:30:32,00:01:39,01:26:59,00:01:12,00:47:53,02:48:15,Felicienne Mercieca has incorrect bike split; recalcuated from remaining splits
310497,111610,00:29:56,00:01:23,01:36:26,00:00:59,00:46:32,02:55:16,Karen Amato has incorrect bike split; recalcuated from remaining splits
310497,29810,00:30:56,00:01:13,00:00:00,00:01:17,00:00:00,02:57:23,Suzanna Farrugia has short bike and run split; both removed for consistency
310497,111606,00:38:24,00:01:03,00:00:00,00:01:02,00:00:00,03:07:53,Claire Azzopardi has short bike and run split; both removed for consistency
310497,91696,00:26:46,00:01:43,00:00:00,00:01:21,00:00:00,03:15:42,Marian Belsten has short bike and run split; both removed for consistency
310497,111611,00:34:48,00:02:03,00:00:00,00:01:25,00:00:00,03:17:13,Nanette Farrugia has short bike and run split; both removed for consistency
